Outcome,Weights,Dust,Race,Sex,Smoking,EmpLength
1,3,1,1,1,1,1
0,37,1,1,1,1,1
1,0,2,1,1,1,1
0,74,2,1,1,1,1
1,2,3,1,1,1,1
0,258,3,1,1,1,1
1,25,1,2,1,1,1
0,139,1,2,1,1,1
1,0,2,2,1,1,1
0,88,2,2,1,1,1
1,3,3,2,1,1,1
0,242,3,2,1,1,1
1,0,1,1,2,1,1
0,5,1,1,2,1,1
1,1,2,1,2,1,1
0,93,2,1,2,1,1
1,3,3,1,2,1,1
0,180,3,1,2,1,1
1,2,1,2,2,1,1
0,22,1,2,2,1,1
1,2,2,2,2,1,1
0,145,2,2,2,1,1
1,3,3,2,2,1,1
0,260,3,2,2,1,1
1,0,1,1,1,2,1
0,16,1,1,1,2,1
1,0,2,1,1,2,1
0,35,2,1,1,2,1
1,0,3,1,1,2,1
0,134,3,1,1,2,1
1,6,1,2,1,2,1
0,75,1,2,1,2,1
1,1,2,2,1,2,1
0,47,2,2,1,2,1
1,1,3,2,1,2,1
0,122,3,2,1,2,1
1,0,1,1,2,2,1
0,4,1,1,2,2,1
1,1,2,1,2,2,1
0,54,2,1,2,2,1
1,2,3,1,2,2,1
0,169,3,1,2,2,1
1,1,1,2,2,2,1
0,24,1,2,2,2,1
1,3,2,2,2,2,1
0,142,2,2,2,2,1
1,4,3,2,2,2,1
0,301,3,2,2,2,1
1,8,1,1,1,1,2
0,21,1,1,1,1,2
1,1,2,1,1,1,2
0,50,2,1,1,1,2
1,1,3,1,1,1,2
0,187,3,1,1,1,2
1,8,1,2,1,1,2
0,30,1,2,1,1,2
1,0,2,2,1,1,2
0,5,2,2,1,1,2
1,0,3,2,1,1,2
0,33,3,2,1,1,2
1,0,1,1,2,1,2
0,0,1,1,2,1,2
1,1,2,1,2,1,2
0,33,2,1,2,1,2
1,2,3,1,2,1,2
0,94,3,1,2,1,2
1,0,1,2,2,1,2
0,0,1,2,2,1,2
1,0,2,2,2,1,2
0,4,2,2,2,1,2
1,0,3,2,2,1,2
0,3,3,2,2,1,2
1,2,1,1,1,2,2
0,8,1,1,1,2,2
1,1,2,1,1,2,2
0,16,2,1,1,2,2
1,0,3,1,1,2,2
0,58,3,1,1,2,2
1,1,1,2,1,2,2
0,9,1,2,1,2,2
1,0,2,2,1,2,2
0,0,2,2,1,2,2
1,0,3,2,1,2,2
0,7,3,2,1,2,2
1,0,1,1,2,2,2
0,0,1,1,2,2,2
1,0,2,1,2,2,2
0,30,2,1,2,2,2
1,1,3,1,2,2,2
0,90,3,1,2,2,2
1,0,1,2,2,2,2
0,0,1,2,2,2,2
1,0,2,2,2,2,2
0,4,2,2,2,2,2
1,0,3,2,2,2,2
0,4,3,2,2,2,2
1,31,1,1,1,1,3
0,77,1,1,1,1,3
1,1,2,1,1,1,3
0,141,2,1,1,1,3
1,12,3,1,1,1,3
0,495,3,1,1,1,3
1,10,1,2,1,1,3
0,31,1,2,1,1,3
1,0,2,2,1,1,3
0,1,2,2,1,1,3
1,0,3,2,1,1,3
0,45,3,2,1,1,3
1,0,1,1,2,1,3
0,1,1,1,2,1,3
1,3,2,1,2,1,3
0,91,2,1,2,1,3
1,3,3,1,2,1,3
0,176,3,1,2,1,3
1,0,1,2,2,1,3
0,1,1,2,2,1,3
1,0,2,2,2,1,3
0,0,2,2,2,1,3
1,0,3,2,2,1,3
0,2,3,2,2,1,3
1,5,1,1,1,2,3
0,47,1,1,1,2,3
1,0,2,1,1,2,3
0,39,2,1,1,2,3
1,3,3,1,1,2,3
0,182,3,1,1,2,3
1,3,1,2,1,2,3
0,15,1,2,1,2,3
1,0,2,2,1,2,3
0,1,2,2,1,2,3
1,0,3,2,1,2,3
0,23,3,2,1,2,3
1,0,1,1,2,2,3
0,2,1,1,2,2,3
1,3,2,1,2,2,3
0,187,2,1,2,2,3
1,2,3,1,2,2,3
0,340,3,1,2,2,3
1,0,1,2,2,2,3
0,0,1,2,2,2,3
1,0,2,2,2,2,3
0,2,2,2,2,2,3
1,0,3,2,2,2,3
0,3,3,2,2,2,3
